Darren,Sin,darrensin,password,
8,2,2022,
100.0,
1000.43,
true,
222.0,
DAILY,11,4,
2,3,1,-22.0,
2,3,13,-22.0,
2,3,8,-22.0,
3,3,8,-22.0,
5,4,1,77.0,
2,1,7,-342.0,
2,1,4,-88.0,
4,1,7,-88.0,
4,1,7,-88.22,
4,1,7,88.0,
4,1,7,88.0,
4,1,7,88.0,
6,3,3,23.0,
6,3,4,41.0,
5,5,2,-77.0,
5,3,21,-77.0,
7,5,7,13.15,
7,5,8,13.15,
2,5,8,-44.0,
7,5,9,13.15,
2,5,10,-44.0,
7,5,10,13.15,
7,5,11,13.15,
7,5,2,13.15,
7,6,2,13.15,
7,6,6,13.15,
7,6,13,13.15,
2,6,19,-44.0,
6,6,19,22.0,
6,6,19,-50.0,
1,6,25,-21.0,
6,6,25,-21.0,
4,6,20,-21.0,
1,6,26,-21.0,
6,6,19,144.0,
2,6,19,-50.0,
5,2,7,-32.0,
6,2,4,-32.0,
1,11,30,-3.0,
1,2,6,-3.0,
1,2,17,-45.0,
6,11,30,-4.0,
6,2,1,4.0,
6,2,1,4.0,
6,2,1,4.0,
1,11,26,-22.0,
1,2,1,-22.0,
1,6,2,-2.0,
6,5,1,2.0,
2,8,2,-34.0,
6,8,2,-43.0,
1,8,3,-23.0,
6,8,3,50.0,
2,8,2,-2.0,
2,8,2,-2.0,
2,8,2,-2.0,
5,8,2,-2.0,
2,6,9,-2.0,
